provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id,,,
1.5 m tall. Flowers on portion of stem below leaves. Corolla red and tubular. Flowers pendent and resupinate. Phenology,,ignore,,,,
1.5 m tall. Leaves whorled. Flowers in axillary clusters. Calyx green. Corolla orange and tubular. Nectary a ring. Fruit a globose white berry. Phenology,,ignore,,,,
1.5 m tall. Leaves whorled. Flowers in axillary clusters. Corolla orange and tubular. Fruit a white globose berry. US greenhouse USBRG accession number,,ignore,,,,
1.5 m tall. Peduncles absent. Pedicel and calyx maroon. Phenology,,ignore,,,,
1.5 m tall. Stem quadrangular. Flowers in axillary clusters. Pedicels and calyx lobes orange. Nectary a bilobed gland on upper surface. Fruit a white globose berry. Label remarks,,ignore,,,,
1.5 m tall. Stems quadrangular. Calyx light green. Corolla campanulate and cream-yellow. Label remarks,,ignore,,,,
1.5 m tall. Stems slender. Corolla orange and tubular. Fruits in axillary clusters below leaves. Petal lobes not reflexed (note,,ignore,,,,
1.5 m tall. Sterile. Phenology,,ignore,,,,
1.5-2 m tall. Flower buds orange. Our remarks,,ignore,,,,
1.5-2.0 cm in diameter. Abaxial leaf surface reddish green to uniformly green. Mature flowers absent. Calyx lobes equal. Nectary comprised of 4 glands (with dorsal gland bilobed). Label remarks,,ignore,,,,
1.5-2.0 m tall. Calyx green. Corolla orange and tubular. Label remarks,,ignore,,,,
1.5-2.0 m tall. Flowers in axillary clusters. Calyx green. Corolla tubular and yellow. Label remarks,,ignore,,,,
1.5-2.0 m tall. Growing in crevice of vertical rock surface in river canyon. Calyx green. Corolla orange and tubular. Label remarks,,ignore,,,,
1.5-2.0 m tall. Stems quadrangular. Calyx green. Corolla hypocyrtoid and red. Label remarks,,ignore,,,,
10 plants seen. Associated species,,ignore,,,,
10-15 cm tall. Calyx green. Corolla white. Label remarks,,ignore,,,,
10-20 cm tall. Perianth white. Label remarks,,ignore,,,,
10-20 cm tall. Sometimes epiphytic. Leaves in a basal rosette. Abaxial leaf surface green (Note,,ignore,,,,
10-20 cm tall. Sometimes epiphytic. Leaves in a basal rosette. Abaxial leaf surface red. Calyx puple (Note,,ignore,,,,
10-20 degree slope with loamy soil. Associated plants,,ignore,,,,
10-20 percent slope with loamy soil. Associated plants,,ignore,,,hunting?,
10-25 cm tall. Calyx green. Corolla white. Label remarks,,ignore,,,,
10-25 cm tall. Leaves bullate. Corolla white. Label remarks,,ignore,,,,
10-25 cm tall. Stems decumbent. Corolla tubular and white. Label remarks,,ignore,,,,
100 yr selectively cut Picea abies forest with remnant Pinus sylvestris.  Dominant understory vasculars,,ignore,,,,
100 yr selectively cut Picea abies forest with remnant Pinus sylvestris.  Dominant understory vasculars,,ignore,,,,
100+ year old Picea abies with older Pinus silvestris & some Betula verrucosa. Dominant understory vasculars,,ignore,,,,
100+ year old Picea abies with older Pinus silvestris & some Betula verrucosa. Dominant understory vasculars,,ignore,,,,
105,,ignore,,,,
113,,ignore,,,,
12,,ignore,,,,"https://en.wikipedia.org/wiki/Epibiont#:~:text=An%20epibiont%20(from%20the%20Ancient,definition%2C%20harmless%20to%20its%20host."
13 - 14 m 19 (4 / 15) 23 4 / - Key,,ignore,,,,
13 m tall. Common.Note,,ignore,,,,
14,,ignore,,,,
14 (3),,ignore,,,,
15,,ignore,,,,
15 m 22 (13 / 9) 13 6 / 2 NW shore,,ignore,,,ow! that is interesting! Caste of a bee?,
15 m 28 * 66 - # W shore,,ignore,,,,
15-20 cm tall. Leaves bullate. Fruits erect. Label remarks,,ignore,,,,
15-25 cm tall. Abaxial leaf surface red (occasionally green). Corolla tubular and red. Note,,ignore,,,,
15-25 cm tall. Petals white. Label remarks,,ignore,,,,
15-25 cm tall. Rhizomes scaly with scales clustered into a globose ball-like structure. Abaxial leaf surface greenish-red. Calyx green. Corolla tubular and red. Label remarks,,ignore,,,,
15-30 cm tall. Stems succulent. Abaxial leaf surface uniformly red. Inflorescence a terminal raceme. Label remarks,,ignore,,,,
15.2 million people live in areas were around 20–40% of people admitted to having the worm in the past.Centers for Disease Control and Prevention (CDC). (2015 January 20). Parasites – Loiasis. Global Health – Division of Parasitic Diseases. Retrieved from,,ignore,,,,
15.2 million people live in areas where around 20–40% of people admitted to having the worm in the past.Centers for Disease Control and Prevention (CDC). (2015 January 20). Parasites – Loiasis. Global Health – Division of Parasitic Diseases. Retrieved from,,ignore,,,,
17,,ignore,,,,
1758) in flight - a note on avian dispersal of snails. Folia Malacologica 21(2),,ignore,,,,
1774 (Gastropoda,,ignore,,,,
1774) (Gastropoda,,ignore,,,,
1775) (Gastropoda,,ignore,,,,
1799–1811. doi,,ignore,,,,
18 m. In the same sample there were other serpulids,,ignore,,,,
18 m. In the same sample there were other serpulids,,ignore,,,,
182,,ignore,,,,
1829). In,,ignore,,,,
1831 (Nudibranchia,,ignore,,,,
1833). In,,ignore,,,,
1834) a bioluminescence snail with a compilation of related works. Online  Last change,,ignore,,,,
1862). Kuang Si waterfall. The red dot indicates the exact place where the specimens were collected. Photo,,ignore,,,,
1862). Kuang Si waterfall. The red dot indicates the exact place where the specimens were collected. Photo,,ignore,,,,
1864 (cf. Van Soest 1993,,ignore,,,,
1864 (cf. Van Soest 1993,,ignore,,,,
1864 (Gastropoda,,ignore,,,,
1875. Eleven baicaliids including Pseudobaikalia michelae sp. n. and three species of the genus Pseudobaikalia,,ignore,,,,
1875. Eleven baicaliids including Pseudobaikalia michelae sp. n. and three species of the genus Pseudobaikalia,,ignore,,,,
1901 and its biology. Nature in Singapore 1,,ignore,,,,
1925. Flowers visited,,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622,,,
1958,,ignore,,,,
1966. At,,ignore,,,,
1975. Monograph on the Hydroida of Southern Africa. Ann. S. Afr. Mus. 68,,ignore,,,,
1980,,ignore,,,,
1981).</p> <p>Algae on AlgaeBase,,ignore,,,,
1981).</p> <p>Algae on AlgaeBase,,ignore,,,,
1986,,ignore,,,,
1986 (U no. 83GR00398). Photographs of this collection are in the Gesneriaceae photo file (US). Leaf material collected for molecular systematic studies. US greenhouse USBRG accession number,,ignore,,,,
1989 (Mollusca,,ignore,,,,
1993,,ignore,,,,
1996. Seed planted,,ignore,,,,
1996. Seed planted,,ignore,,,,
1998. Red scale Aonidiella auranii (Maskell). In,,ignore,,,,
2,,ignore,,,,
2 dorsal-most lobes red. Poricidal anthers present. NOTE,,ignore,,,,
2 m tall. Calyx green. Corolla orange and tubular. Our remarks,,ignore,,,,
2 m tall. Flowers in axillary clusters. Bracts absent. Calyx lobes dark maroon. Fruit a fleshy display-like capsule. Label remarks,,ignore,,,assuming the target is the host,
2 m tall. Fruits white. Corolla orange. Label remarks,,ignore,,,,
2–20 cm (maximum up to 60 cm) below surface.  Snails move rapidly away from bright light sources. Feeding is seldom intensive,,ignore,,,,
2(5),,ignore,,,,
20 degree slope in sandy to clay loam soil. Full sun. Associated plants,,ignore,,,,
20-25 cm tall. Calyx light green. Corolla white. Label remarks,,ignore,,,,
20-25 cm tall. Leaves rugose. Calyx light green. Corolla mostly white with yellow throat. Label remarks,,ignore,,,,
20-30 cm tall. Calyx green. Corolla orangish-red. Label remarks,,ignore,,,,
20-30 cm tall. Our remarks,,ignore,,,,
20-35 cm tall. Abaxial leaf surface green (cf. Clark # 6793 with abaxial leaf surface red). Calyx green. Corolla white and tubular. Label remarks,,ignore,,,,
20-40 cm tall. Rhizomes present (elongate and stringy). Abaxial leaf surface dark red. Adaxial leaf surface dark green. Corolla red and tubular. Label remarks,,ignore,,,,
20-50 cm tall. Calyx green. Corolla bright orange. Label remarks,,ignore,,,,
20-50 cm tall. Stems and petioles red. Calyx lobes fimbriate and red. Label remarks,,ignore,,,,
2000 from John Boggan (grown from AGGS seed). Wild origin,,ignore,,,,
2002 from William Price. Wild origin,,ignore,,,,
2002),,ignore,,,,
2002) chaparral,,ignore,,,,
2002) edge of chaparral,,ignore,,,,
2002) transition chaparral,,ignore,,,,assuming the target is the host. ambiguous: https://es.wikipedia.org/wiki/Hu%C3%A9sped_(biolog%C3%ADa)
2003),,ignore,,,,
2003) W-facing slope at margin of dry meadow,,ignore,,,,
2005,,ignore,,,,
2005) and Raorchestes gryllus. Figure 14. Ophryophryne elfina sp. n. in situ,,ignore,,,,
2005) and Raorchestes gryllus. Figure 14. Ophryophryne elfina sp. n. in situ,,ignore,,,,
2006),,ignore,,,,
2007,,ignore,,,,
2007.  A review of feeding specificity in the sponge-feeding Chromodorididae (Nudibranchia,,ignore,,,,
2007) also support this close relationship. The enlarged Spathicarpeae has a constantly diploid chromosome number of 2n = 34,,ignore,,,,
2010),,ignore,,,,
2012 and juveniles of the isopod family Janiridae. High abundances of other benthic taxa were found co-occurring with Leucothoe kawesqari,,ignore,,,,
2012 and juveniles of the isopod family Janiridae. High abundances of other benthic taxa were found co-occurring with Leucothoe kawesqari,,ignore,,,,
2013 at http,,ignore,,,,
2014),,ignore,,,,
2014),,ignore,,,,
2015. The left side of Nam Khan ca. 18 km SE of Muang Xiang Ngeun. The red dot indicates the approximate place where the specimens were collected. Photo,,ignore,,,,
2015. The left side of Nam Khan ca. 18 km SE of Muang Xiang Ngeun. The red dot indicates the approximate place where the specimens were collected. Photo,,ignore,,,,
2017 (in,,ignore,,,,
2017. Rise of Marine Mammals,,ignore,,,,
2020),,ignore,,,,
2045–2054 (2019). https,,ignore,,,assuming the target is the host,
205 pp.<br/><br/>Feeding habits Fiona pinnata attacks and preys on barnacles of the genus Lepas,,ignore,,,,
21,,ignore,,,assuming the target is the host,
216-219. https,,ignore,,,,
216-219. https,,ignore,,,,
22 graminoid species present including following species each at 1-10% cover,,ignore,,,,
27,,ignore,,,,
27(2),,ignore,,,,
270,,ignore,,,,
28,,ignore,,,,
29,,ignore,,,,
3,,ignore,,,,
3(1),,ignore,,,,
3) Pyrenula cf. neglecta-Collector,,ignore,,,,
30-40 cm tall. Calyx green. Corolla orange and hypocyrtoid. Label remarks,,ignore,,,,
30-40 cm tall. Calyx green. Corolla red and tubular. Label remarks,,ignore,,,,
30-40 cm tall. Calyx light green. Corolla red. Label remarks,,ignore,,,,
30-40 cm tall. Calyx lobes light red. Mature fruit walls white. Label remarks,,ignore,,,,
30-40 cm tall. Calyx lobes pink. Label remarks,,ignore,,,,
30-40 cm tall. Corolla tubular and yellow. Label remarks,,ignore,,,,
30-40 cm tall. Corolla white and tubular. Fruit an erect capsule. Label remarks,,ignore,,,,
30-40 cm tall. Flowers terminally congested on an elongate peduncle. Corolla yellow. Label remarks,,ignore,,,,
30-40 cm tall. Inflorescence erect. Calyx green. Corolla campanulate and white. Label remarks,,ignore,,,,
30-40 cm tall. Stems erect and unbranched. Calyx green. Corolla yellow. Nectary gland U-shaped and covering dorsal ¾ of ovary. Label remarks,,ignore,,,,
30-45 cm tall. Calyx green. Corolla tubular and red. Label remarks,,ignore,,,,
30-45 cm tall. Fruit solitary and erect. Label remarks,,ignore,,,,
30-45 cm tall. Sometimes growing on moss-covered rocks near stream. Calyx green. Corolla campanulate and dark blue. Label remarks,,ignore,,,,
30-50 cm tall. Abaxial leaf surface greenish-red. Calyx lobes light green. Fruit a globose (slightly compressed) white berry. Label remarks,,ignore,,,,
30-50 cm tall. Abaxial leaf surface uniformly green to green with reddish tinge. Calyx light green. Corolla white. Label remarks,,ignore,,,,
30-50 cm tall. Abaxial leaf surface uniformly red. Corolla white. Label remarks,,ignore,,,,
30-50 cm tall. Corolla orange and ampliate (not hypocyrtoid). Label remarks,,ignore,,,,
30-50 cm tall. Shoots dorsiventral. Bracts and calyx lobes light green. Corolla white and tubular. Label remarks,,ignore,,,,
30-50 cm tall. Stems succulent and quadrangular. Abaxial leaf surface red. Calyx lobes reddish-purple. Corolla white and campanulate. Label remarks,,ignore,,,,
30-50 cm tall. Stems succulent. Leaves evenly distributed along stem (not clustered like other Paradrymonia spp.). Fruits in axillary clusters (10+/axil). Fruit a white globose fleshy berry. (NOTE,,ignore,,,,
30-60 cm tall. Abaxial leaf surface purple. Calyx lobes green and fimbriate. Phenology,,ignore,,,,
30-60 cm tall. Calyx green. Corolla orange. Our remarks,,ignore,,,,
30-60 cm tall. Calyx lobes reddish-orange. Corolla tubular and yellow. Fruit a globose white berry. Growing in large ant nest. Label remarks,,ignore,,,,
30percent slope in clay soil. Associated plants,,ignore,,,,
31,,ignore,,,,
33 - 216 m. On coral debris. Pillai and ten Hove (1994) recorded the species from 0.5 to 200 m. In the same samples studied there were other serpulids,,ignore,,,,
33 - 216 m. On coral debris. Pillai and ten Hove (1994) recorded the species from 0.5 to 200 m. In the same samples studied there were other serpulids,,ignore,,,,
33 Tegmen in ventral and lateral view 34 Penis apex 35 - 36 E. undulatus,,ignore,,,,
33 Tegmen in ventral and lateral view 34 Penis apex 35 - 36 E. undulatus,,ignore,,,,
33(3),,ignore,,,,
34,,ignore,,,,
34(1),,ignore,,,,
35,,ignore,,,,
353,,ignore,,,,
37,,ignore,,,,
38,,ignore,,,,
39,,ignore,,,,
397,,ignore,,,,
4,,ignore,,,,
4 locations,,ignore,,,,
4 locations,,ignore,,,,
4(2),,ignore,,,,
4) Pyrenula neglecta-Collector,,ignore,,,,
40 km SSE of Cayenne. Leaf material collected for molecular systematic studies. US greenhouse USBRG accession number,,ignore,,,,
40 см высоты). На сильно выветренной корке камня. ( Ida eksp. kivi vertikaalne külg (laius,,ignore,,,,
40-50 cm tall. Calyx green with purple striations (similar to the striations found on the calyx lobes of Drymonia rhodoloma Wiehler). Leaves brittle when dried (similar to Corytoplectus). Label remarks,,ignore,,,,
40-50 cm tall. Calyx lobes light green. Our remarks,,ignore,,,,
40-50 cm tall. Label remarks,,ignore,,,,
40-50 cm tall. Stems creeping and horizontal with numerous erect shoots. Abaxial leaf surface uniformly green or uniformly red. Calyx green. Corolla red and strongly bilabiate. Label remarks,,ignore,,,,
40-50 cm tall. Stems ducumbent. Calyx green. Corolla hypocyrtoid and orange. Label remarks,,ignore,,,,
40-50 cm tall. Sterile. Our remarks,,ignore,,,,
40-60 cm tall. Abaxial leaf surface green with red patch near apex. Bracts and calyx orange. Corolla tubular and yellow. Fruit an oblong orange berry. Label remarks,,ignore,,,,
40-60 cm tall. Abaxial leaf surface red. Bracts and calyx lobes red. Label remarks,,ignore,,,,
40-60 cm tall. Calyx green. Corolla bright orange and hypocyrtoid. Label remarks,,ignore,,,,
40-60 cm tall. Calyx green. Corolla orange and hypocyrtoid. Label remarks,,ignore,,,,
40-60 cm tall. Calyx green. Corolla tubular and orange. Fruit a globose white berry. Label remarks,,ignore,,,,
40-60 cm tall. Calyx green. Corolla tubular and orange. Our remarks,,ignore,,,,
40-60 cm tall. Calyx light green. Corolla tubular and red. Label remarks,,ignore,,,,
40-60 cm tall. Calyx pink. Corolla orange and hypocyrtoid. Label remarks,,ignore,,,,
40-60 cm tall. Flower buds red. Fruit a capsule. Label remarks,,ignore,,,,
40-60 cm tall. Flowers one/axil (rarely two/axil). Calyx green. Corolla tubular and red. Label remarks,,ignore,,,,
40-60 cm tall. Infructescence terminal and paniculate. Our remarks,,ignore,,,,
40-60 cm tall. Petioles red. Flower buds yellow. Calyx green. Corolla yellow. Flowers resupinate. Phenology,,ignore,,,,
40-60 cm tall. Rhizomes absent. Calyx lobes red. Corolla orange and hypocyrtoid. Label remarks,,ignore,,,,
40-60 cm tall. Sometimes terrestrial. Fruit walls dark purple and reflexed. Calyx lobes fringed/fimbriate (appearing like cauliflower). Note,,ignore,,,,
40-60 cm tall. Stem succulent. Calyx green. Corolla immature and red. Label remarks,,ignore,,,,
40m x 4m. Associated species,,ignore,,,,
40m x 4m. Associated species,,ignore,,,,
411,,ignore,,,,
42 Tegmen in ventral and lateral view 43 Penis apex 44 - 47 P. pubescens,,ignore,,,,
42 Tegmen in ventral and lateral view 43 Penis apex 44 - 47 P. pubescens,,ignore,,,,
44,,ignore,,,,
46(3),,ignore,,,,
48 hours after metamorphosis juvenile specimens of Berghia stephanieae start to prey upon pieces of Aiptasia pallida anemones.<br/><br/>Juvenile stage Juvenile stage (40-60% of development),,ignore,,,,
49(8),,ignore,,,,
5 m über Grund,,ignore,,,,
5 parasite species are registered,,ignore,,,,
5 см). (Kivi horisontaalsel pinnal (pind,,ignore,,,,
5-10 cm long. Not common. Label remarks,,ignore,,,,
5-10 cm tall. Rarely epiphytic. Stems erect. Peduncles absent. Note,,ignore,,,,
50 cm tall. Adaxial leaf surface variegated. Calyx red. Corolla tubular and yellow. Fruit a globose translucent berry with black seeds. Label remarks,,ignore,,,,
50 cm tall. Fruit a dry capsule. Our remarks,,ignore,,,,
50 cm tall. Label remarks,,ignore,,,,
50 cm tall. Our remarks,,ignore,,,,
50 cm tall. Stems succulent. Calyx green. Corolla hypocyrtoid and orange. Label remarks,,ignore,,,,
50-60 cm tall. Calyx persistent in fruit. Fruit an erect capsule.Locally abundant. Label remarks,,ignore,,,,
50-70 cm tall. Bracts and calyx lobes pinkish-red. Label remarks,,ignore,,,,
50-70 cm tall. Calyx and corolla reddish-orange. Flowers resupinate. Label remarks,,ignore,,,,
50-70 cm tall. Calyx lobes green (Note,,ignore,,,,
50-70 cm tall. Stem quadrangular and winged. Calyx yellow. Corolla yellow and urceolate. Label remarks,,ignore,,,,
51,,ignore,,,,
51–53. The ash-free dry weight of newly hatched snails is 0.012 mg. The protoconch has one whorl.Bandel K. (2001). The history of Theodoxus and Neritina connected with description and systematic evaluation of related Neritimorpha (Gastropoda). Mittelungen aus dem Geologisch-Palaontologischen Institut Universitat Hamburg (85),,ignore,,,,
5203) and Tristicha trifaria (No. 5202) collected from top of waterfall. Note,,ignore,,,,
53(6),,ignore,,,,
6% Aralia community. Associated species include,,ignore,,,,
6% Aralia community. Associated species include,,ignore,,,,
60 cm tall. Abaxial leaf surface purple. Calyx lobes green and fimbriate. Corolla tubular and yellow. Flowers resupinate. Label remarks,,ignore,,,,
60 cm tall. Abaxial leaf surface red. Fruit a capsule dehiscing on dorsal surface. Label remarks,,ignore,,,,
60 cm tall. Calyx green. Corolla yellow. Label remarks,,ignore,,,,
60 cm tall. Stem red with yellow pubescence. Calyx yellow. Label remarks,,ignore,,,,
60 cm tall. Stems pubescent. Calyx green. Corolla orange and tubular. Fruit a white berry. Label remarks,,ignore,,,,
